,x,y,z
0,-8.006665157,7.999297552,27.02287368
0.001,-7.863764049,7.990446791,26.87741159
0.002,-7.66883481,7.971405603,26.73415687
0.003,-7.520709232,7.9504819,26.60844434
0.004,-7.358972915,7.951426172,26.47315153
0.005,-7.212735783,7.919408259,26.34039205
0.006,-7.07214979,7.895770012,26.20865654
0.007,-6.924658151,7.870890308,26.08192455
0.008,-6.773551744,7.856174397,25.97590127
0.009,-6.626718925,7.835841317,25.83086281
0.01,-6.486617797,7.814452911,25.7265056
0.011,-6.351293036,7.779609061,25.61650388
0.012,-6.196452131,7.751486723,25.49470244
0.013,-6.053632536,7.744650669,25.37376218
0.014,-5.941051621,7.698590563,25.26672073
0.015,-5.792265491,7.672863553,25.14826161
0.016,-5.657575138,7.649968308,25.04047398
0.017,-5.514232066,7.635837639,24.9352716
0.018,-5.408261883,7.613961953,24.83715189
0.019,-5.280155233,7.586333933,24.71389561
0.02,-5.124320136,7.569173845,24.60111815
0.021,-5.000041278,7.539131811,24.50337432
0.022,-4.888282665,7.502415915,24.40601405
0.023,-4.762022331,7.469909609,24.28976919
0.024,-4.636782584,7.463656651,24.21713853
0.025,-4.534532736,7.439366915,24.10870169
0.026,-4.41578644,7.405502598,24.00922346
0.027,-4.287938499,7.389754556,23.90678498
0.028,-4.190086664,7.357410116,23.82262255
0.029,-4.058224704,7.326183492,23.72492988
0.03,-3.938606829,7.291578519,23.63278723
0.031,-3.829929246,7.297818867,23.52592818
0.032,-3.711475585,7.282667715,23.44688051
0.033,-3.606678408,7.251412325,23.36850751
0.034,-3.504742878,7.214178794,23.28285171
0.035,-3.400409691,7.188473394,23.17266078
0.036,-3.271558254,7.158016415,23.10175007
0.037,-3.191548489,7.148980111,23.00749383
0.038,-3.081132221,7.134742652,22.93358182
0.039,-2.981882619,7.109039345,22.84263586
0.04,-2.876371896,7.067310863,22.77590565
0.041,-2.76786612,7.043586648,22.67944333
0.042,-2.677139134,7.029274051,22.60089553
0.043,-2.58218997,7.018191054,22.54048867
0.044,-2.492743574,7.002216984,22.43139611
0.045,-2.397961182,6.971800734,22.3839717
0.046,-2.311150145,6.952444195,22.31395638
0.047,-2.209952005,6.944780719,22.2281827
0.048,-2.121850152,6.918353624,22.148257
0.049,-2.030861905,6.901275579,22.07995697
0.05,-1.949928137,6.861322629,21.99719778
0.051,-1.863173798,6.889404994,21.92020738
0.052,-1.770308083,6.825610679,21.85673369
0.053,-1.686011679,6.820337545,21.77186229
0.054,-1.588829098,6.814438886,21.7084061
0.055,-1.503433071,6.794105236,21.65165507
0.056,-1.437761391,6.761816155,21.58332936
0.057,-1.363369653,6.757238366,21.5040517
0.058,-1.271434261,6.742662501,21.45172809
0.059,-1.193089917,6.72369287,21.38766215
0.06,-1.126939761,6.725396726,21.31740318
0.061,-1.04123662,6.707960901,21.25370953
